20 10000
-228 125 0
-55 83 23
262 -74 0
239 -34 27
53 -17 13
95 -82 10
-175 8 0
120 -17 9
-73 -58 0
15 40 3
-1 -145 0
-7 179 10
-77 129 0
-19 112 0
45 -160 3
148 -140 41
120 71 9
203 -125 3
153 -67 0
72 161 10
-133 112 3580 1
10 -28 0 1550
90 88 7275 361
-92 -73 9491 1
14 142 0 1
119 51 2354 1
-64 45 1225 371
-59 81 1179 1120
-202 21 79 1371
77 -84 5483 1
-122 -71 1221 1
90 96 1580 238
-60 -24 4713 1
-15 79 2957 1
158 151 4099 1
110 -165 2306 293
8 -45 0 219
-61 -135 6800 879
-76 -11 4649 1115
-21 38 5241 1
80 28 11547 1904
125 -30 0 1
204 -166 2311 1246
115 -34 12570 1459
-6 -28 449 1277
91 -155 5716 1
-43 -29 3070 1
-185 5 4239 636
-109 5 12151 1
34 -104 0 36
-14 -94 6093 802
98 -37 0 270
-28 74 14941 1
159 6 1820 1
-34 2 2171 1
22 -83 2910 1
-105 28 16812 579
-5 28 10416 1
-2 251 15221 1876
-52 -79 6117 1
57 90 16825 1592
37 17 3781 1
54 123 5507 781
135 -73 8840 1
17 -187 0 775
92 -16 4856 1501
-132 22 8194 1
43 129 9039 1
-36 19 6206 1
-38 -88 8021 1
-81 -99 0 1109
-148 99 2831 1
-38 195 15041 77
-60 36 5948 1
9 54 596 1
85 65 7870 439
63 109 18625 1
104 138 7896 1
10 71 1699 1674
57 143 8960 806
-239 110 4130 662
-205 325 0 1
-82 -9 4940 1
-162 -1 8712 642
-37 69 10000 599
18 -124 6305 1
-19 194 3080 1257
35 -50 0 1546
11 100 10283 1
-65 -34 4148 1
-158 48 8912 565
64 11 5259 1
-167 -3 3820 1
-35 -74 3621 1789
-54 10 4215 301
-110 -130 12011 30
132 137 861 419
17 67 12872 1
-19 -117 1071 1
10 -85 4115 689
-7 -201 0 1576
33 39 0 324
157 -114 4381 1310
-71 6 0 896
-23 -131 6568 77
-96 -10 4700 1
-193 168 615 165
42 -9 4692 684
94 -10 0 634
-27 151 11861 196
1 -40 14037 811
39 146 6799 1123
29 -82 8026 1
-30 -39 9359 1026
-7 124 5855 1530
-153 -16 0 461
10 80 5555 1
97 24 5773 208
87 -116 11285 966
37 -196 0 41
-91 -41 2451 1
-210 -96 9323 1
38 49 1003 597
-136 190 8195 516
-18 -101 1809 709
-40 116 7102 1
-302 87 4748 161
0 11 5516 1022
-218 -9 2915 1
18 -103 3679 1
-82 -103 0 1
51 30 3280 545
-23 -172 1401 1
65 90 5628 1
36 0 18953 1
-39 1 0 1163
-21 -32 3590 1
137 112 5542 1
207 128 3437 1
191 -74 5062 420
-10 16 0 49
0 94 7324 1396
40 1 1843 479
-99 38 6880 445
22 108 9586 1
-82 -26 0 68
60 -22 2040 1923
36 -181 455 1
-119 65 6674 241
162 51 11858 466
227 32 6817 57
142 198 414 1
23 -63 0 5
-17 -130 7524 1366
107 -83 0 26
-39 -30 5644 1
5 -96 0 1
110 177 0 1190
-110 47 5160 1
-64 -44 1555 952
-204 122 10191 1821
-114 200 3800 1176
-125 -22 3784 596
80 160 7927 324
-61 -85 5921 1
-127 -35 3235 1
-159 16 7686 1
-140 13 8954 1590
-91 95 2978 1
111 -73 3241 1
125 0 11957 654
49 36 4527 1
113 37 2255 955
190 131 12715 1
126 -146 4365 189
43 -65 0 1
182 -12 13732 1
44 -82 0 1
-47 -161 0 1
-112 29 0 290
-13 95 0 1
-183 39 5779 1
-195 -67 942 1
-93 64 4902 1
110 -104 3596 1
-66 -149 6831 664
-51 -106 8925 592
-242 24 10506 1
-98 -22 17265 1
-40 42 5701 266
226 -27 6235 1
-18 247 0 1324
-99 -111 9355 1
-60 13 5475 1
-92 68 7773 246
-96 103 0 1
25 81 2756 77
-34 92 0 1274
196 43 0 618
7 172 10394 1985
-48 -20 9489 1
54 116 4694 897
-47 83 4120 1
-35 124 10042 1
-73 95 0 706
-121 -151 3818 1
-143 4 12594 1873
-66 69 0 1
131 -110 3369 781
129 63 0 540
126 38 0 68
-97 -13 7566 1
54 -52 7697 602
2 -75 2682 335
-118 -121 8825 88
-40 -32 4435 339
137 29 2068 1
42 59 0 1
59 197 2411 1572
-46 40 0 1026
36 -5 0 1
-58 64 2478 491
180 158 0 637
7 -159 0 1
77 -23 925 1586
20 -121 6958 338
-84 -25 0 1
49 97 5335 1851
28 -101 11244 1
28 -150 1745 658
4 -35 0 1
8 5 7569 93
116 32 0 1489
-2 -94 5384 474
41 -28 0 1
66 50 0 1
-157 165 1728 325
-121 -136 1450 155
51 79 3110 30
-152 -72 0 1394
-147 11 3521 1
177 42 9693 1790
-81 80 7881 1
-169 44 2845 981
-36 -172 8050 1403
-38 99 0 1387
22 -26 3063 1
65 -26 1606 28
-29 -5 5077 1
99 -177 6667 1
-16 71 11703 1
-7 -80 13199 461
130 4 10718 1
-60 30 8428 1115
-45 -196 4665 95
122 2 0 997
121 291 9171 1377
-198 76 7831 476
9 21 9744 322
42 9 13169 1
27 -83 4249 2017
28 193 1576 83
-50 -57 0 467
-32 163 2322 1513
56 -3 0 1
14 -64 13539 122
25 -46 13964 84
-119 34 12360 1
5 -108 7690 1
115 3 8765 1
66 46 2601 1
-83 97 3834 1
-138 47 6445 413
-14 10 10138 2348
-155 167 14154 1
-43 17 4557 1147
-34 76 963 1
-17 -9 0 7
37 138 11932 89
-86 -65 8578 841
-167 -190 1649 1
-71 -73 11939 1
-214 86 11565 1
90 -25 1878 588
192 -107 10389 1
-46 -107 8688 1
48 0 6929 1
-5 -102 0 484
-112 42 12429 1152
35 103 3882 1
18 -227 12964 1
24 -37 5586 1
212 171 8356 300
20 164 11366 1
-32 -29 4170 891
-92 50 326 1
-106 42 1519 1
-82 32 9192 1
175 80 0 1
-162 -67 6041 855
-1 25 8668 1
23 14 0 1538
82 77 7188 472
-156 320 12874 1207
22 -120 6961 1
-133 -138 11848 958
97 -21 2147 210
66 -32 6990 666
79 169 12732 1001
91 -36 6840 1
-20 4 0 1
-36 -70 2703 1
-68 6 831 1093
-162 55 13048 40
17 -51 11133 301
186 203 10052 2111
1 110 9679 759
-119 -9 12671 1355
16 10 7347 2798
-10 -26 3224 1266
-77 99 3801 1
66 0 9762 94
161 156 10844 1484
-149 -10 6638 664
-23 1 8909 1528
11 14 239 1
194 -90 7046 1790
99 113 5962 1
100 59 2634 648
23 -150 5142 675
7 146 10229 1547
78 -178 4873 1
22 140 3223 1
87 152 12150 476
53 -53 4852 1425
-48 33 4503 1225
114 -66 5177 1123
16 0 9094 1
-198 -11 7524 389
71 190 0 1
178 -115 10982 708
-93 115 4854 989
-148 46 0 955
55 -41 4330 3025
6 -139 8073 1
161 -62 7770 1776
141 31 3906 1
81 -52 5128 1394
-51 164 14473 109
118 237 3590 1
-44 -75 0 1246
-21 -80 7938 1
23 -44 10497 1
87 64 7726 1
-226 96 0 2017
101 91 7775 1121
-67 -62 878 33
55 24 3899 515
-46 2 7730 1
20 -62 6525 23
-26 35 0 1
-16 -85 11444 1
25 37 5667 1
172 25 6625 243
71 104 3848 1
72 -211 4977 1
247 -46 0 743
196 -3 10934 501
-86 112 0 1
5 -189 8748 1
65 142 7315 646
-167 112 16157 130
-8 162 0 621
115 -6 5785 294
0 -107 1472 1
-2 32 7185 343
205 -275 9637 1
30 -25 5383 1164
56 39 2227 1492
-43 -53 2363 1
44 37 14902 456
33 109 18077 309
131 -20 4365 372
-31 -90 4816 1
-59 -7 879 423
30 -62 10029 1
18 146 4557 511
95 -46 386 428
80 4 15052 1
84 -198 4284 1
109 21 14029 174
-289 37 7875 941
-77 193 6463 1996
27 -172 5021 4
-68 37 6014 1
29 39 3585 502
12 54 11646 1
114 -141 1888 646
-161 -130 10510 1167
33 119 2354 949
79 11 4444 1
-211 24 8167 1
115 168 4277 598
116 67 2299 1
-122 86 2104 631
-341 -117 4802 910
46 47 11983 1
113 -33 6458 1
15 87 3995 617
6 -66 7717 1
-29 -21 7306 1
202 70 4249 1676
-20 -10 6798 387
-85 94 0 1
-66 27 11626 1306
31 17 3965 506
-11 27 2727 777
-34 -48 8163 1
-77 -16 0 1
151 79 2350 1676
115 111 7628 1
94 -41 7013 1
202 44 9704 1
-58 -30 8719 649
-62 -155 7327 372
-90 56 1929 945
-61 157 8514 32
36 -60 6193 1
-154 -55 9633 1
-129 -29 4830 1541
7 100 0 969
37 29 7724 178
160 67 11721 506
11 -51 6649 2793
29 45 10686 1
14 -56 7206 1050
-38 185 2906 63
-54 -36 4265 202
62 -120 4575 1
-131 47 8068 1
24 16 2198 1791
174 55 1917 285
58 -41 13832 1367
0 51 0 1
54 57 798 793
33 -116 2233 818
12 -4 13374 1
29 -4 12363 154
21 136 7447 144
-169 -14 10790 876
-102 148 1895 1
22 38 749 1
-6 -45 6525 1
13 -118 4380 374
26 12 0 1
-124 -149 1119 1
110 -118 9520 46
53 41 5350 342
30 14 3986 1
231 200 0 1
-29 -43 4321 671
76 -155 8924 1704
113 -48 7078 1589
-11 201 4171 1
78 -53 5741 1
-48 -43 9462 1
219 94 0 1
13 31 6516 499
176 -40 0 528
-135 62 0 1
-174 68 7989 1
-84 168 10268 181
56 -9 3620 1
3 70 7377 1
140 101 1090 241
76 -121 12464 1037
173 98 6742 2254
-4 -74 8623 695
-174 -57 4645 425
207 -75 6914 546
20 -83 9565 1
-106 41 8568 1
59 129 6397 1
-98 17 0 1
-70 63 1527 1
113 114 0 51
75 -27 10058 50
-28 0 11357 454
-115 -66 280 517
125 -135 5916 1042
-93 51 8616 1094
-122 -32 8117 426
-52 241 7180 1059
2 3 11918 2007
-199 11 7640 1
-39 -136 8501 1432
78 65 8043 590
-150 147 3196 78
-73 156 1467 1
-57 193 8344 1
-41 58 2818 1726
120 64 9759 1
90 -9 0 1
-48 106 180 1
118 5 6027 1
123 -151 5421 734
45 2 3398 1
10 -50 1964 1
75 -64 9007 634
-210 119 7009 1311
-85 21 1183 419
-25 168 97 1
94 -1 12125 868
-88 -29 8721 440
-97 -72 9769 753
-12 34 2482 132
-84 -29 5560 1
-195 -83 4047 1
-33 -112 10418 1592
-79 -100 9653 1
-31 -9 6645 2662
-37 199 7810 1
-90 76 6170 1
-23 146 2302 27
-14 24 3896 50
188 134 6240 1
-79 87 7020 2121
42 -36 11698 156
171 41 876 497
128 -57 8119 1014
-18 27 3280 1411
-150 -154 5268 208
-37 -107 6136 1
-24 119 1412 1
-118 60 12964 1151
-100 -183 3062 710
59 6 6081 724
-121 79 5188 1446
-131 -160 0 138
148 20 2641 1
-32 -17 7716 1
-67 -126 2077 1
-115 -46 0 471
-14 15 0 1
142 83 1548 920
70 -15 8780 728
55 -89 9656 1
-59 -152 7157 1937
40 2 4398 1
-18 139 12656 57
39 76 13503 1
65 -135 11833 1
120 -12 6944 1
-77 -161 2520 617
-63 35 2820 528
-92 -129 8957 1
40 -72 14885 2157
-9 -132 10146 358
-4 -49 10112 1887
229 -46 8799 95
-43 -151 1080 15
77 146 12428 190
19 -13 6182 1
-103 -47 4054 1
-6 -76 3428 1
-121 -17 9315 919
-79 -3 3221 1780
156 -26 10322 369
14 -26 13673 1
141 -183 0 596
70 129 12116 1
-30 125 5051 1
52 -82 5457 1
5 41 8911 79
82 99 6760 1
82 -11 11385 1
-89 -68 2415 1
52 0 845 1
61 30 0 1
-2 15 0 1
3 -40 8652 1
-74 -70 9237 1
-49 -10 2542 1
13 7 11370 2654
-125 50 350 1
-111 -48 8946 350
-231 -149 3837 862
101 -134 1921 522
-25 89 0 1
65 77 6525 1
44 -162 2549 1
-92 -51 9156 1
-76 -3 7531 1
18 157 13517 1
32 19 11457 1059
76 -142 676 1
-98 9 8942 464
-100 -70 0 1059
3 -27 936 1
-9 -8 8480 1
-74 137 3800 1891
3 -1 13273 1
53 72 11357 1
113 17 11975 1
-29 29 0 1
45 -49 1547 1
-63 -56 4229 380
-68 249 4188 1261
57 77 13988 1308
45 -29 9889 95
-9 -93 6549 611
-59 151 6445 582
170 -183 5776 847
-65 -39 5801 1
-2 63 7494 59
-87 130 8046 1
6 21 12204 1648
89 -15 6146 145
2 54 4907 2400
36 9 1267 53
197 29 8133 196
87 2 2501 491
0 62 4621 1
-88 10 4827 1
-103 28 10381 1
-20 -26 4609 1
216 256 0 717
-126 -5 545 470
81 125 4844 1
41 -120 9582 747
-213 -27 3425 870
10 -189 6826 1572
-53 -62 7350 219
81 -22 1077 928
-113 -125 2327 1
113 -144 1932 980
-193 42 3932 1
-38 32 396 1
59 -59 535 1991
-126 -9 14087 1
0 110 6758 1
74 -28 8050 786
11 86 6871 1
-96 -88 1865 1
-6 33 4091 1
204 -117 3729 1065
-1 37 0 693
97 -64 4293 524
12 -63 2963 1
27 241 1758 347
57 144 8626 422
155 109 9050 1
113 41 3346 1
-40 -30 2013 653
113 106 9931 1
-30 -149 5289 1
47 12 7607 1
128 -28 982 1141
49 -90 14576 108
63 35 13555 1069
-111 280 13024 1531
101 -116 9709 83
-9 -34 6969 872
20 -77 430 1
-78 -42 9851 1
-89 -107 8548 1
162 72 0 1282
91 70 5637 326
-15 189 4017 563
29 -50 0 1159
48 -34 8301 1
-61 -11 13786 1
20 19 4966 117
135 -59 0 1
-121 -68 3801 31
207 87 5185 2313
101 56 5198 735
-28 22 7452 1
-60 226 0 35
-156 -42 7690 1
-124 -21 3856 1328
67 242 4048 1006
-16 25 14422 1141
-107 117 8114 1
122 -93 9124 1
110 32 0 1097
107 55 3050 1
-61 -35 6086 1
-50 23 213 965
89 -15 0 1975
-178 89 6065 1
-2 -107 0 1
-11 52 10235 1
41 -48 1032 372
116 98 11191 504
1 95 1591 51
83 -2 8406 1
-17 21 1416 1
30 -43 10451 1
1 66 6463 429
49 -35 2454 732
-105 68 0 1239
-221 15 0 1
-80 14 13567 1
-98 -46 5305 121
29 -87 6442 287
-135 -152 7067 569
10 -204 6329 1
-29 -72 0 1470
196 167 0 559
-20 -20 9593 713
116 52 1670 1073
129 135 4627 1
-35 -119 12902 210
-140 114 7147 1
-143 -1 6601 1
109 -47 1865 1
-100 29 7487 387
40 140 129 1
-14 -87 6586 1
-96 -13 3637 174
-134 -93 2975 455
244 -72 10611 909
172 -45 8434 1
-53 13 6351 1
-114 5 12369 1
91 -35 2690 33
-114 -151 6501 176
89 -23 15591 406
-41 7 5710 1954
81 -85 1689 1
19 -126 94 102
74 21 8814 1
84 -155 7400 114
1 -128 5492 984
-26 16 7929 1321
35 -12 9060 1
209 -137 6460 944
28 -146 9022 531
57 63 9294 2182
-40 -26 8788 1
-190 -233 0 177
36 -58 10584 427
-9 -1 9206 1
22 26 2345 443
-68 -33 3360 177
-112 5 4590 1096
-34 18 0 1451
-68 -61 8941 523
-265 -247 12044 1211
42 -122 10632 716
63 23 7630 1
-69 201 0 680
3 96 5598 644
27 -74 6487 1
-62 -123 0 1
-59 67 3415 173
-151 -88 10174 1
157 33 0 1
-50 -26 4467 1
-172 -98 2753 1806
173 -31 4029 483
-44 32 2228 652
87 51 5365 1
-111 -83 0 2964
92 76 7211 1
-78 240 2332 2061
-156 46 2805 394
-20 6 8002 1
-10 -47 6558 1
-137 -79 9389 33
137 3 9320 1
54 29 640 149
193 -137 4207 1
-17 0 3482 1043
32 165 0 1
43 53 8686 1
-69 11 0 708
73 -105 5826 1
-165 -79 601 915
86 126 4965 39
-112 -126 4716 764
250 63 16070 1
109 77 8022 2407
10 -21 10857 1
60 10 0 1306
139 48 4018 2149
-126 -222 189 231
-156 79 12900 737
-60 136 2353 126
121 -247 355 1
262 -93 9980 1
11 -13 1517 1877
-82 -56 3734 749
-34 104 0 451
-77 122 10259 1046
79 202 7311 228
-179 89 6483 497
-78 3 9114 1
-23 -14 0 636
42 -17 12595 109
-50 26 0 942
42 59 10598 863
-47 100 3103 1635
-24 98 2270 1414
37 203 876 1
146 -167 6545 598
152 -61 6928 983
9 36 5520 1606
120 -14 7454 1
5 -13 4861 1098
142 77 3549 1633
88 -22 3034 1
27 13 4658 57
-168 -21 12753 635
-96 -77 4249 778
16 -162 1531 492
197 -63 12470 1
119 5 6147 1
-256 18 5191 296
-2 115 0 1389
-96 16 2678 1
-149 128 4441 1
89 0 7496 1
-70 7 3882 331
70 48 12359 1
-56 93 10600 1220
-64 -133 1442 1376
-121 128 12670 1
45 90 7903 1193
-147 6 8864 1949
-56 54 14907 1
-60 159 5206 1
34 -330 0 1
51 0 4736 1
121 -37 6293 1
-2 -7 4842 1
-49 -57 0 412
-111 54 7013 1197
34 45 9174 1425
-21 -93 0 1
11 -71 5125 28
-94 -64 12910 400
82 -95 6509 220
167 -82 5325 1
-56 -57 2118 1
62 -95 675 31
-62 -10 6946 1
65 69 0 1
46 -144 6680 1
49 -76 5018 714
37 -2 4840 3074
-172 104 1094 77
-50 14 1013 1
-24 -63 3871 405
-101 75 8871 701
-56 -136 1213 404
-60 -13 10120 1
-29 -63 577 1004
-17 -26 1124 398
232 95 6048 129
49 20 5697 1
-65 33 5620 801
-158 8 2042 1
167 18 3445 627
-16 10 4158 1045
-34 238 9694 696
-31 -136 7595 1
-91 45 0 1124
-29 -79 11738 658
-87 112 10073 1
195 150 1771 1
32 131 2014 1
-46 -112 4647 1
50 -150 7096 670
-21 -1 2671 1
-188 -20 7530 489
121 -16 1608 1
45 -41 4955 1
66 -25 14983 1
3 -94 0 1
112 110 68 1
-21 155 0 558
50 90 0 375
114 34 4666 1
-66 139 0 1
41 -32 2363 269
97 -38 9378 650
-13 -88 11054 29
-83 78 7968 586
54 -143 9962 456
-37 -3 1815 879
-60 98 12240 1
-160 102 9274 755
-50 -9 0 871
-10 76 4270 1
70 -94 0 1
-14 149 6046 748
21 17 2781 1
93 -194 0 425
-20 169 1762 1
106 -15 2974 649
11 116 2361 365
0 -46 12732 459
-14 143 6232 1
-1 -87 6760 994
185 40 1968 363
-51 134 0 1
-50 -51 4606 2050
160 -24 9498 256
82 11 2782 1
123 141 5242 31
54 -2 7672 1566
166 -132 12539 2015
17 -77 4829 300
43 -135 10321 113
154 13 6581 163
-41 -99 1196 373
-66 152 18271 1
-20 -62 5531 1379
197 -97 5985 1
82 -16 9229 228
-102 52 338 1
-91 -106 2305 657
65 -107 14177 1164
36 -140 7559 1447
-17 20 0 1756
-171 -116 13455 1
86 30 7588 543
38 -157 5915 1
-21 234 6322 1
-62 37 1479 1
-20 23 0 1
-25 -112 15196 1
-23 -13 13503 1
31 -41 1363 1090
-25 -23 5319 1
128 188 10004 856
195 115 3475 310
38 8 5407 1
196 6 6304 1
-45 -29 8033 1
91 50 0 268
158 91 8053 95
-116 39 14412 936
-1 22 9130 1
27 -86 6737 307
73 -56 4392 1033
45 -85 0 86
-93 -55 12081 1558
9 -18 15865 177
-25 -29 0 684
-63 -10 2386 810
-93 -169 9526 1
-56 42 4440 1
60 320 12853 1
-16 255 5683 481
79 103 7797 1
28 18 2540 1239
227 17 0 406
-95 51 7242 1407
57 -21 7192 1052
143 -17 9855 568
-63 2 1459 803
-31 54 8145 943
319 -96 3742 1
92 35 66 1
-240 209 4652 656
-22 -70 12883 340
2 -84 907 918
-108 -55 17304 632
-23 -15 5769 196
-49 38 4689 59
-77 -81 1557 1
108 -83 12451 828
31 151 7416 1249
95 -110 9039 560
-54 -224 1145 946
113 63 3893 1
-73 134 0 58
-121 84 0 1642
104 52 5093 300
-60 -82 6429 86
7 12 4261 324
91 -74 1832 1587
71 -104 11305 1166
206 -117 0 1
-154 -70 7 1436
-119 -238 14727 82
-149 -17 14556 703
-21 -109 1470 1
-33 -35 4641 523
-112 219 13819 201
-293 -57 0 910
-90 -180 2413 1
66 -74 0 1
65 43 11806 1
-70 131 15791 654
-183 128 14625 309
15 -104 8493 1
64 36 4767 540
-166 223 6933 266
179 -33 0 1
181 -31 8890 1
120 -43 8285 1
-102 -139 9075 646
158 -72 8342 745
29 -24 5500 62
-19 -54 4348 1
-106 199 3980 1
-265 -29 2165 518
-42 -97 5422 2220
60 72 647 1
103 -48 15892 2154
91 -101 9888 1
63 -130 2207 3127
73 -3 0 275
-93 150 14468 599
7 66 11495 963
-59 106 6281 362
122 -29 0 1246
88 -227 6923 1
64 -174 11420 1
-182 59 5933 605
-91 -44 10804 550
-227 -22 4121 540
60 -73 0 1
129 -99 2602 680
28 -38 5128 1
157 -183 7246 1434
-89 4 7475 436
67 -177 0 596
4 66 7251 389
-99 -40 4211 25
48 -51 0 1
-98 76 3426 1
-6 -138 15984 1
-29 -15 682 1
-112 -34 1954 535
278 72 0 1
-115 -39 7680 1
-4 69 11910 1533
190 145 7345 1
38 350 7187 2059
-15 -36 9093 1930
-58 -89 15772 1
71 -69 7702 1
-28 -23 3112 1708
-32 22 198 731
3 -162 3833 1
55 -48 8537 2530
-192 40 9754 1
-77 55 4904 1
98 32 9432 1
48 -75 0 736
41 -13 4861 1
31 -23 6502 1
147 78 0 992
-151 34 8395 1218
-14 220 8479 1
-130 -162 8391 1
-330 87 11403 18
43 -115 8976 1335
-53 -104 738 1
65 80 2592 3024
49 -12 6079 371
292 -4 0 81
56 74 4028 1
-180 -124 236 1
59 -21 6818 43
97 -63 0 1
-64 76 11103 1231
4 152 3255 1
-73 67 4317 1
-27 129 4161 2061
-84 -109 7660 1
144 -208 10082 225
102 -79 1441 1225
-113 -167 5136 1
-112 119 3098 872
58 -143 3880 1
-108 -24 5768 337
96 220 4001 1006
38 -59 0 1
-173 57 3657 2537
-116 94 7101 1
-5 -55 10837 33
-7 -41 8998 1
33 130 9017 1
-136 195 3194 563
-36 -47 5495 1
2 71 10907 248
57 -140 2187 1
14 71 0 459
-107 142 10199 1
9 -151 6224 1
-24 150 0 604
-68 -24 9790 1
-70 -114 9393 1
-240 36 2288 1
153 -33 9005 1339
-39 -45 3012 535
96 31 8189 1
-68 10 564 488
-34 -36 0 515
-67 18 5537 93
-43 -134 3167 1
23 116 9192 946
2 -48 0 1
-42 -31 3864 1
8 -281 8148 1
-69 -187 0 1
-142 -133 1895 1120
41 85 0 701
13 -66 9960 1
54 -22 15021 1
195 -77 5287 798
45 45 5675 376
-165 23 9924 1
-8 47 9036 1
-177 84 1682 1
34 -54 9822 565
-2 93 10506 1
39 -124 0 1954
-43 -72 516 1041
106 86 7425 617
62 128 3689 1
31 168 2635 819
104 8 0 212
92 -80 6257 355
-327 -5 7720 1
298 65 4255 1327
43 -58 6936 784
26 -80 3997 1
-21 87 15105 376
17 130 1065 1
-72 -66 10304 1
55 32 7187 1
39 -85 0 907
45 -27 9406 1088
15 -62 5284 1
139 -17 13951 1
-74 38 0 1110
101 -57 0 759
125 -63 16226 1
8 85 15857 396
136 -134 12656 1
-12 -124 265 1
117 -35 0 1
-181 -120 5218 210
-24 199 7674 519
70 50 2604 640
94 -95 8112 1
-96 -55 4515 191
76 66 4964 1
10 37 0 981
-170 -66 10687 157
-49 -60 1296 1
118 122 6107 1
-51 0 696 1
-35 53 6134 244
-264 -10 542 1
-153 -124 0 1
78 -19 893 1
144 2 0 1
129 -34 0 1
-3 150 2180 631
6 25 5931 1
-47 -102 8868 209
-5 187 12857 1
-42 179 15947 452
-62 71 6026 292
-4 -133 2780 1031
-85 -22 8840 1026
-37 -11 2546 1
125 1 4605 885
-127 -110 0 1
-8 -97 7115 1
37 77 864 984
-98 5 8922 1524
-55 -51 4252 1
-11 -67 7925 369
-52 45 1201 1
90 -67 10812 54
46 -235 8908 1
24 36 4945 619
47 -15 177 1
-192 94 5334 1341
81 -24 1436 917
44 76 8570 1
-23 -42 16892 1034
47 84 2614 625
160 -178 8497 53
77 73 6097 1693
53 -131 0 2286
-19 -17 3601 621
-6 2 1625 1
-27 246 6178 1
97 -50 2677 1050
29 -89 1468 1
-21 314 6381 1
-5 -42 4260 1
-75 -36 5625 639
-39 -41 13845 1
-73 -47 4390 1004
-92 99 0 1
-183 -141 1730 1
-78 12 6162 1
149 6 5234 1
-108 -9 10159 1
65 -45 12523 1150
74 3 5062 2065
-47 128 0 1
-104 -28 10241 698
-81 247 4421 1
7 235 3584 1
-29 -148 2387 1
106 75 3755 1
-117 -44 0 1
58 22 1229 1
-126 -5 0 88
-17 91 8285 1
-8 100 2636 1
-125 93 1475 1
-168 -75 0 1
-48 -23 0 404
140 12 3691 1
-28 -52 7272 201
-39 1 14510 397
22 -4 0 326
-4 -72 3638 845
20 -40 6616 89
-32 86 2271 1
137 -33 12921 464
-58 -14 7284 1
29 77 0 1
164 168 11674 61
-102 -77 7338 1286
-87 -166 8790 1
92 182 7485 1
135 -27 2386 1
-132 -101 13874 1
63 103 1527 1
57 63 2304 1
191 -93 3598 1
-39 87 5510 1
57 -1 2346 1284
-21 41 13537 1
117 -18 4705 952
99 -2 3775 1
-89 47 3914 1
55 -145 6742 226
-93 111 0 1937
125 201 0 296
-144 -110 11402 347
-220 -237 8430 746
-103 167 3786 306
35 -21 3099 1
-19 -61 1947 282
24 87 0 532
24 28 3800 1
-141 -121 7925 792
-124 -49 7751 1
186 -46 5653 796
-201 -80 0 1270
0 -3 6959 510
-78 -79 5546 1
-69 -85 0 1
139 -7 0 1571
133 -10 7960 1
107 16 11444 99
-47 -24 4228 1
-18 5 0 1
69 205 6779 1
